id,instrument_token,symbol,expiry_date,strike_price,option_type,tier,subscribed_at,ws_connection_id,active
16,PE_NIFTY_25000.0_2026-02-10,NIFTY,2026-02-10,25000.0,PE,TIER_B,2026-02-05 04:43:19.298400,1,1
17,CE_NIFTY_25050.0_2026-02-10,NIFTY,2026-02-10,25050.0,CE,TIER_B,2026-02-05 04:43:19.298416,2,1
18,PE_NIFTY_25050.0_2026-02-10,NIFTY,2026-02-10,25050.0,PE,TIER_B,2026-02-05 04:43:19.298435,3,1
19,CE_NIFTY_25100.0_2026-02-10,NIFTY,2026-02-10,25100.0,CE,TIER_B,2026-02-05 04:43:19.298451,4,1
20,PE_NIFTY_25100.0_2026-02-10,NIFTY,2026-02-10,25100.0,PE,TIER_B,2026-02-05 04:43:19.298467,5,1
21,CE_NIFTY_25150.0_2026-02-10,NIFTY,2026-02-10,25150.0,CE,TIER_B,2026-02-05 04:43:19.298483,1,1
22,PE_NIFTY_25150.0_2026-02-10,NIFTY,2026-02-10,25150.0,PE,TIER_B,2026-02-05 04:43:19.298499,2,1
23,CE_NIFTY_25200.0_2026-02-10,NIFTY,2026-02-10,25200.0,CE,TIER_B,2026-02-05 04:43:19.298516,3,1
24,PE_NIFTY_25200.0_2026-02-10,NIFTY,2026-02-10,25200.0,PE,TIER_B,2026-02-05 04:43:19.298532,4,1
25,CE_NIFTY_25250.0_2026-02-10,NIFTY,2026-02-10,25250.0,CE,TIER_B,2026-02-05 04:43:19.298548,5,1
26,PE_NIFTY_25250.0_2026-02-10,NIFTY,2026-02-10,25250.0,PE,TIER_B,2026-02-05 04:43:19.298564,1,1
27,CE_NIFTY_25300.0_2026-02-10,NIFTY,2026-02-10,25300.0,CE,TIER_B,2026-02-05 04:43:19.298581,2,1
28,PE_NIFTY_25300.0_2026-02-10,NIFTY,2026-02-10,25300.0,PE,TIER_B,2026-02-05 04:43:19.298597,3,1
29,CE_NIFTY_25350.0_2026-02-10,NIFTY,2026-02-10,25350.0,CE,TIER_B,2026-02-05 04:43:19.298614,4,1
30,PE_NIFTY_25350.0_2026-02-10,NIFTY,2026-02-10,25350.0,PE,TIER_B,2026-02-05 04:43:19.298644,5,1
31,CE_NIFTY_25400.0_2026-02-10,NIFTY,2026-02-10,25400.0,CE,TIER_B,2026-02-05 04:43:19.298662,1,1
32,PE_NIFTY_25400.0_2026-02-10,NIFTY,2026-02-10,25400.0,PE,TIER_B,2026-02-05 04:43:19.298679,2,1
33,CE_NIFTY_25450.0_2026-02-10,NIFTY,2026-02-10,25450.0,CE,TIER_B,2026-02-05 04:43:19.298695,3,1
34,PE_NIFTY_25450.0_2026-02-10,NIFTY,2026-02-10,25450.0,PE,TIER_B,2026-02-05 04:43:19.298711,4,1
35,CE_NIFTY_25500.0_2026-02-10,NIFTY,2026-02-10,25500.0,CE,TIER_B,2026-02-05 04:43:19.298727,5,1
36,PE_NIFTY_25500.0_2026-02-10,NIFTY,2026-02-10,25500.0,PE,TIER_B,2026-02-05 04:43:19.298743,1,1
37,CE_NIFTY_25550.0_2026-02-10,NIFTY,2026-02-10,25550.0,CE,TIER_B,2026-02-05 04:43:19.298759,2,1
38,PE_NIFTY_25550.0_2026-02-10,NIFTY,2026-02-10,25550.0,PE,TIER_B,2026-02-05 04:43:19.298775,3,1
39,CE_NIFTY_25600.0_2026-02-10,NIFTY,2026-02-10,25600.0,CE,TIER_B,2026-02-05 04:43:19.298791,4,1
40,PE_NIFTY_25600.0_2026-02-10,NIFTY,2026-02-10,25600.0,PE,TIER_B,2026-02-05 04:43:19.298807,5,1
41,CE_NIFTY_25650.0_2026-02-10,NIFTY,2026-02-10,25650.0,CE,TIER_B,2026-02-05 04:43:19.298823,1,1
42,PE_NIFTY_25650.0_2026-02-10,NIFTY,2026-02-10,25650.0,PE,TIER_B,2026-02-05 04:43:19.298839,2,1
43,CE_NIFTY_25700.0_2026-02-10,NIFTY,2026-02-10,25700.0,CE,TIER_B,2026-02-05 04:43:19.298856,3,1
44,PE_NIFTY_25700.0_2026-02-10,NIFTY,2026-02-10,25700.0,PE,TIER_B,2026-02-05 04:43:19.298872,4,1
45,CE_NIFTY_25750.0_2026-02-10,NIFTY,2026-02-10,25750.0,CE,TIER_B,2026-02-05 04:43:19.298888,5,1
46,PE_NIFTY_25750.0_2026-02-10,NIFTY,2026-02-10,25750.0,PE,TIER_B,2026-02-05 04:43:19.298904,1,1
47,CE_NIFTY_25800.0_2026-02-10,NIFTY,2026-02-10,25800.0,CE,TIER_B,2026-02-05 04:43:19.298920,2,1
48,PE_NIFTY_25800.0_2026-02-10,NIFTY,2026-02-10,25800.0,PE,TIER_B,2026-02-05 04:43:19.298936,3,1
49,CE_NIFTY_25850.0_2026-02-10,NIFTY,2026-02-10,25850.0,CE,TIER_B,2026-02-05 04:43:19.298953,4,1
50,PE_NIFTY_25850.0_2026-02-10,NIFTY,2026-02-10,25850.0,PE,TIER_B,2026-02-05 04:43:19.298969,5,1
51,CE_NIFTY_25900.0_2026-02-10,NIFTY,2026-02-10,25900.0,CE,TIER_B,2026-02-05 04:43:19.298985,1,1
52,PE_NIFTY_25900.0_2026-02-10,NIFTY,2026-02-10,25900.0,PE,TIER_B,2026-02-05 04:43:19.299001,2,1
53,CE_NIFTY_25950.0_2026-02-10,NIFTY,2026-02-10,25950.0,CE,TIER_B,2026-02-05 04:43:19.299017,3,1
54,PE_NIFTY_25950.0_2026-02-10,NIFTY,2026-02-10,25950.0,PE,TIER_B,2026-02-05 04:43:19.299033,4,1
55,CE_NIFTY_26000.0_2026-02-10,NIFTY,2026-02-10,26000.0,CE,TIER_B,2026-02-05 04:43:19.299049,5,1
56,PE_NIFTY_26000.0_2026-02-10,NIFTY,2026-02-10,26000.0,PE,TIER_B,2026-02-05 04:43:19.299065,1,1
57,CE_NIFTY_26050.0_2026-02-10,NIFTY,2026-02-10,26050.0,CE,TIER_B,2026-02-05 04:43:19.299081,2,1
58,PE_NIFTY_26050.0_2026-02-10,NIFTY,2026-02-10,26050.0,PE,TIER_B,2026-02-05 04:43:19.299097,3,1
59,CE_NIFTY_26100.0_2026-02-10,NIFTY,2026-02-10,26100.0,CE,TIER_B,2026-02-05 04:43:19.299113,4,1
60,PE_NIFTY_26100.0_2026-02-10,NIFTY,2026-02-10,26100.0,PE,TIER_B,2026-02-05 04:43:19.299129,5,1
61,CE_NIFTY_26150.0_2026-02-10,NIFTY,2026-02-10,26150.0,CE,TIER_B,2026-02-05 04:43:19.299145,1,1
62,PE_NIFTY_26150.0_2026-02-10,NIFTY,2026-02-10,26150.0,PE,TIER_B,2026-02-05 04:43:19.299161,2,1
63,CE_NIFTY_26200.0_2026-02-10,NIFTY,2026-02-10,26200.0,CE,TIER_B,2026-02-05 04:43:19.299177,3,1
64,PE_NIFTY_26200.0_2026-02-10,NIFTY,2026-02-10,26200.0,PE,TIER_B,2026-02-05 04:43:19.299193,4,1
65,CE_NIFTY_26250.0_2026-02-10,NIFTY,2026-02-10,26250.0,CE,TIER_B,2026-02-05 04:43:19.299209,5,1
66,PE_NIFTY_26250.0_2026-02-10,NIFTY,2026-02-10,26250.0,PE,TIER_B,2026-02-05 04:43:19.299225,1,1
67,CE_NIFTY_26300.0_2026-02-10,NIFTY,2026-02-10,26300.0,CE,TIER_B,2026-02-05 04:43:19.299240,2,1
68,PE_NIFTY_26300.0_2026-02-10,NIFTY,2026-02-10,26300.0,PE,TIER_B,2026-02-05 04:43:19.299256,3,1
69,CE_NIFTY_26350.0_2026-02-10,NIFTY,2026-02-10,26350.0,CE,TIER_B,2026-02-05 04:43:19.299274,4,1
70,PE_NIFTY_26350.0_2026-02-10,NIFTY,2026-02-10,26350.0,PE,TIER_B,2026-02-05 04:43:19.299290,5,1
71,CE_NIFTY_26400.0_2026-02-10,NIFTY,2026-02-10,26400.0,CE,TIER_B,2026-02-05 04:43:19.299306,1,1
72,PE_NIFTY_26400.0_2026-02-10,NIFTY,2026-02-10,26400.0,PE,TIER_B,2026-02-05 04:43:19.299332,2,1
73,CE_NIFTY_26450.0_2026-02-10,NIFTY,2026-02-10,26450.0,CE,TIER_B,2026-02-05 04:43:19.299348,3,1
74,PE_NIFTY_26450.0_2026-02-10,NIFTY,2026-02-10,26450.0,PE,TIER_B,2026-02-05 04:43:19.299366,4,1
75,CE_NIFTY_26500.0_2026-02-10,NIFTY,2026-02-10,26500.0,CE,TIER_B,2026-02-05 04:43:19.299383,5,1
76,PE_NIFTY_26500.0_2026-02-10,NIFTY,2026-02-10,26500.0,PE,TIER_B,2026-02-05 04:43:19.299400,1,1
77,CE_NIFTY_26550.0_2026-02-10,NIFTY,2026-02-10,26550.0,CE,TIER_B,2026-02-05 04:43:19.299416,2,1
78,PE_NIFTY_26550.0_2026-02-10,NIFTY,2026-02-10,26550.0,PE,TIER_B,2026-02-05 04:43:19.299432,3,1
79,CE_NIFTY_26600.0_2026-02-10,NIFTY,2026-02-10,26600.0,CE,TIER_B,2026-02-05 04:43:19.299450,4,1
80,PE_NIFTY_26600.0_2026-02-10,NIFTY,2026-02-10,26600.0,PE,TIER_B,2026-02-05 04:43:19.299466,5,1
81,CE_NIFTY_26650.0_2026-02-10,NIFTY,2026-02-10,26650.0,CE,TIER_B,2026-02-05 04:43:19.299482,1,1
82,PE_NIFTY_26650.0_2026-02-10,NIFTY,2026-02-10,26650.0,PE,TIER_B,2026-02-05 04:43:19.299498,2,1
83,CE_NIFTY_26700.0_2026-02-10,NIFTY,2026-02-10,26700.0,CE,TIER_B,2026-02-05 04:43:19.299514,3,1
84,PE_NIFTY_26700.0_2026-02-10,NIFTY,2026-02-10,26700.0,PE,TIER_B,2026-02-05 04:43:19.299530,4,1
85,CE_NIFTY_26750.0_2026-02-10,NIFTY,2026-02-10,26750.0,CE,TIER_B,2026-02-05 04:43:19.299546,5,1
86,PE_NIFTY_26750.0_2026-02-10,NIFTY,2026-02-10,26750.0,PE,TIER_B,2026-02-05 04:43:19.299562,1,1
87,CE_NIFTY_26800.0_2026-02-10,NIFTY,2026-02-10,26800.0,CE,TIER_B,2026-02-05 04:43:19.299580,2,1
88,PE_NIFTY_26800.0_2026-02-10,NIFTY,2026-02-10,26800.0,PE,TIER_B,2026-02-05 04:43:19.299596,3,1
89,CE_NIFTY_26850.0_2026-02-10,NIFTY,2026-02-10,26850.0,CE,TIER_B,2026-02-05 04:43:19.299613,4,1
90,PE_NIFTY_26850.0_2026-02-10,NIFTY,2026-02-10,26850.0,PE,TIER_B,2026-02-05 04:43:19.299628,5,1
91,CE_NIFTY_26900.0_2026-02-10,NIFTY,2026-02-10,26900.0,CE,TIER_B,2026-02-05 04:43:19.299644,1,1
92,PE_NIFTY_26900.0_2026-02-10,NIFTY,2026-02-10,26900.0,PE,TIER_B,2026-02-05 04:43:19.299660,2,1
93,CE_NIFTY_26950.0_2026-02-10,NIFTY,2026-02-10,26950.0,CE,TIER_B,2026-02-05 04:43:19.299676,3,1
94,PE_NIFTY_26950.0_2026-02-10,NIFTY,2026-02-10,26950.0,PE,TIER_B,2026-02-05 04:43:19.299692,4,1
95,CE_NIFTY_27000.0_2026-02-10,NIFTY,2026-02-10,27000.0,CE,TIER_B,2026-02-05 04:43:19.299709,5,1
96,PE_NIFTY_27000.0_2026-02-10,NIFTY,2026-02-10,27000.0,PE,TIER_B,2026-02-05 04:43:19.299725,1,1
97,CE_NIFTY_27050.0_2026-02-10,NIFTY,2026-02-10,27050.0,CE,TIER_B,2026-02-05 04:43:19.299741,2,1
98,PE_NIFTY_27050.0_2026-02-10,NIFTY,2026-02-10,27050.0,PE,TIER_B,2026-02-05 04:43:19.299757,3,1
99,CE_NIFTY_27100.0_2026-02-10,NIFTY,2026-02-10,27100.0,CE,TIER_B,2026-02-05 04:43:19.299775,4,1
100,PE_NIFTY_27100.0_2026-02-10,NIFTY,2026-02-10,27100.0,PE,TIER_B,2026-02-05 04:43:19.299791,5,1
101,CE_NIFTY_27150.0_2026-02-10,NIFTY,2026-02-10,27150.0,CE,TIER_B,2026-02-05 04:43:19.299807,1,1
102,PE_NIFTY_27150.0_2026-02-10,NIFTY,2026-02-10,27150.0,PE,TIER_B,2026-02-05 04:43:19.299823,2,1
103,CE_NIFTY_24650.0_2026-02-17,NIFTY,2026-02-17,24650.0,CE,TIER_B,2026-02-05 04:43:19.300314,3,1
104,PE_NIFTY_24650.0_2026-02-17,NIFTY,2026-02-17,24650.0,PE,TIER_B,2026-02-05 04:43:19.300343,4,1
105,CE_NIFTY_24700.0_2026-02-17,NIFTY,2026-02-17,24700.0,CE,TIER_B,2026-02-05 04:43:19.300364,5,1
106,PE_NIFTY_24700.0_2026-02-17,NIFTY,2026-02-17,24700.0,PE,TIER_B,2026-02-05 04:43:19.300383,1,1
107,CE_NIFTY_24750.0_2026-02-17,NIFTY,2026-02-17,24750.0,CE,TIER_B,2026-02-05 04:43:19.300401,2,1
108,PE_NIFTY_24750.0_2026-02-17,NIFTY,2026-02-17,24750.0,PE,TIER_B,2026-02-05 04:43:19.300418,3,1
109,CE_NIFTY_24800.0_2026-02-17,NIFTY,2026-02-17,24800.0,CE,TIER_B,2026-02-05 04:43:19.300437,4,1
110,PE_NIFTY_24800.0_2026-02-17,NIFTY,2026-02-17,24800.0,PE,TIER_B,2026-02-05 04:43:19.300454,5,1
111,CE_NIFTY_24850.0_2026-02-17,NIFTY,2026-02-17,24850.0,CE,TIER_B,2026-02-05 04:43:19.300470,1,1
112,PE_NIFTY_24850.0_2026-02-17,NIFTY,2026-02-17,24850.0,PE,TIER_B,2026-02-05 04:43:19.300486,2,1
113,CE_NIFTY_24900.0_2026-02-17,NIFTY,2026-02-17,24900.0,CE,TIER_B,2026-02-05 04:43:19.300503,3,1
114,PE_NIFTY_24900.0_2026-02-17,NIFTY,2026-02-17,24900.0,PE,TIER_B,2026-02-05 04:43:19.300519,4,1
115,CE_NIFTY_24950.0_2026-02-17,NIFTY,2026-02-17,24950.0,CE,TIER_B,2026-02-05 04:43:19.300536,5,1
116,PE_NIFTY_24950.0_2026-02-17,NIFTY,2026-02-17,24950.0,PE,TIER_B,2026-02-05 04:43:19.300553,1,1
117,CE_NIFTY_25000.0_2026-02-17,NIFTY,2026-02-17,25000.0,CE,TIER_B,2026-02-05 04:43:19.300568,2,1
118,PE_NIFTY_25000.0_2026-02-17,NIFTY,2026-02-17,25000.0,PE,TIER_B,2026-02-05 04:43:19.300585,3,1
119,CE_NIFTY_25050.0_2026-02-17,NIFTY,2026-02-17,25050.0,CE,TIER_B,2026-02-05 04:43:19.300602,4,1
120,PE_NIFTY_25050.0_2026-02-17,NIFTY,2026-02-17,25050.0,PE,TIER_B,2026-02-05 04:43:19.300626,5,1
121,CE_NIFTY_25100.0_2026-02-17,NIFTY,2026-02-17,25100.0,CE,TIER_B,2026-02-05 04:43:19.300655,1,1
122,PE_NIFTY_25100.0_2026-02-17,NIFTY,2026-02-17,25100.0,PE,TIER_B,2026-02-05 04:43:19.300683,2,1
123,CE_NIFTY_25150.0_2026-02-17,NIFTY,2026-02-17,25150.0,CE,TIER_B,2026-02-05 04:43:19.300714,3,1
124,PE_NIFTY_25150.0_2026-02-17,NIFTY,2026-02-17,25150.0,PE,TIER_B,2026-02-05 04:43:19.300738,4,1
125,CE_NIFTY_25200.0_2026-02-17,NIFTY,2026-02-17,25200.0,CE,TIER_B,2026-02-05 04:43:19.300765,5,1
126,PE_NIFTY_25200.0_2026-02-17,NIFTY,2026-02-17,25200.0,PE,TIER_B,2026-02-05 04:43:19.300796,1,1
127,CE_NIFTY_25250.0_2026-02-17,NIFTY,2026-02-17,25250.0,CE,TIER_B,2026-02-05 04:43:19.300824,2,1
128,PE_NIFTY_25250.0_2026-02-17,NIFTY,2026-02-17,25250.0,PE,TIER_B,2026-02-05 04:43:19.300843,3,1
129,CE_NIFTY_25300.0_2026-02-17,NIFTY,2026-02-17,25300.0,CE,TIER_B,2026-02-05 04:43:19.300861,4,1
130,PE_NIFTY_25300.0_2026-02-17,NIFTY,2026-02-17,25300.0,PE,TIER_B,2026-02-05 04:43:19.300877,5,1
131,CE_NIFTY_25350.0_2026-02-17,NIFTY,2026-02-17,25350.0,CE,TIER_B,2026-02-05 04:43:19.300894,1,1
132,PE_NIFTY_25350.0_2026-02-17,NIFTY,2026-02-17,25350.0,PE,TIER_B,2026-02-05 04:43:19.300910,2,1
133,CE_NIFTY_25400.0_2026-02-17,NIFTY,2026-02-17,25400.0,CE,TIER_B,2026-02-05 04:43:19.300926,3,1
134,PE_NIFTY_25400.0_2026-02-17,NIFTY,2026-02-17,25400.0,PE,TIER_B,2026-02-05 04:43:19.300942,4,1
135,CE_NIFTY_25450.0_2026-02-17,NIFTY,2026-02-17,25450.0,CE,TIER_B,2026-02-05 04:43:19.300958,5,1
136,PE_NIFTY_25450.0_2026-02-17,NIFTY,2026-02-17,25450.0,PE,TIER_B,2026-02-05 04:43:19.300974,1,1
137,CE_NIFTY_25500.0_2026-02-17,NIFTY,2026-02-17,25500.0,CE,TIER_B,2026-02-05 04:43:19.300990,2,1
138,PE_NIFTY_25500.0_2026-02-17,NIFTY,2026-02-17,25500.0,PE,TIER_B,2026-02-05 04:43:19.301006,3,1
139,CE_NIFTY_25550.0_2026-02-17,NIFTY,2026-02-17,25550.0,CE,TIER_B,2026-02-05 04:43:19.301022,4,1
140,PE_NIFTY_25550.0_2026-02-17,NIFTY,2026-02-17,25550.0,PE,TIER_B,2026-02-05 04:43:19.301039,5,1
141,CE_NIFTY_25600.0_2026-02-17,NIFTY,2026-02-17,25600.0,CE,TIER_B,2026-02-05 04:43:19.301055,1,1
142,PE_NIFTY_25600.0_2026-02-17,NIFTY,2026-02-17,25600.0,PE,TIER_B,2026-02-05 04:43:19.301071,2,1
143,CE_NIFTY_25650.0_2026-02-17,NIFTY,2026-02-17,25650.0,CE,TIER_B,2026-02-05 04:43:19.301088,3,1
144,PE_NIFTY_25650.0_2026-02-17,NIFTY,2026-02-17,25650.0,PE,TIER_B,2026-02-05 04:43:19.301104,4,1
145,CE_NIFTY_25700.0_2026-02-17,NIFTY,2026-02-17,25700.0,CE,TIER_B,2026-02-05 04:43:19.301130,5,1
146,PE_NIFTY_25700.0_2026-02-17,NIFTY,2026-02-17,25700.0,PE,TIER_B,2026-02-05 04:43:19.301158,1,1
147,CE_NIFTY_25750.0_2026-02-17,NIFTY,2026-02-17,25750.0,CE,TIER_B,2026-02-05 04:43:19.301184,2,1
148,PE_NIFTY_25750.0_2026-02-17,NIFTY,2026-02-17,25750.0,PE,TIER_B,2026-02-05 04:43:19.301216,3,1
149,CE_NIFTY_25800.0_2026-02-17,NIFTY,2026-02-17,25800.0,CE,TIER_B,2026-02-05 04:43:19.301247,4,1
150,PE_NIFTY_25800.0_2026-02-17,NIFTY,2026-02-17,25800.0,PE,TIER_B,2026-02-05 04:43:19.301277,5,1
151,CE_NIFTY_25850.0_2026-02-17,NIFTY,2026-02-17,25850.0,CE,TIER_B,2026-02-05 04:43:19.301309,1,1
152,PE_NIFTY_25850.0_2026-02-17,NIFTY,2026-02-17,25850.0,PE,TIER_B,2026-02-05 04:43:19.301340,2,1
153,CE_NIFTY_25900.0_2026-02-17,NIFTY,2026-02-17,25900.0,CE,TIER_B,2026-02-05 04:43:19.301370,3,1
154,PE_NIFTY_25900.0_2026-02-17,NIFTY,2026-02-17,25900.0,PE,TIER_B,2026-02-05 04:43:19.301400,4,1
155,CE_NIFTY_25950.0_2026-02-17,NIFTY,2026-02-17,25950.0,CE,TIER_B,2026-02-05 04:43:19.301426,5,1
156,PE_NIFTY_25950.0_2026-02-17,NIFTY,2026-02-17,25950.0,PE,TIER_B,2026-02-05 04:43:19.301446,1,1
157,CE_NIFTY_26000.0_2026-02-17,NIFTY,2026-02-17,26000.0,CE,TIER_B,2026-02-05 04:43:19.301463,2,1
158,PE_NIFTY_26000.0_2026-02-17,NIFTY,2026-02-17,26000.0,PE,TIER_B,2026-02-05 04:43:19.301480,3,1
159,CE_NIFTY_26050.0_2026-02-17,NIFTY,2026-02-17,26050.0,CE,TIER_B,2026-02-05 04:43:19.301498,4,1
160,PE_NIFTY_26050.0_2026-02-17,NIFTY,2026-02-17,26050.0,PE,TIER_B,2026-02-05 04:43:19.301514,5,1
161,CE_NIFTY_26100.0_2026-02-17,NIFTY,2026-02-17,26100.0,CE,TIER_B,2026-02-05 04:43:19.301530,1,1
162,PE_NIFTY_26100.0_2026-02-17,NIFTY,2026-02-17,26100.0,PE,TIER_B,2026-02-05 04:43:19.301547,2,1
163,CE_NIFTY_26150.0_2026-02-17,NIFTY,2026-02-17,26150.0,CE,TIER_B,2026-02-05 04:43:19.301563,3,1
164,PE_NIFTY_26150.0_2026-02-17,NIFTY,2026-02-17,26150.0,PE,TIER_B,2026-02-05 04:43:19.301589,4,1
165,CE_NIFTY_26200.0_2026-02-17,NIFTY,2026-02-17,26200.0,CE,TIER_B,2026-02-05 04:43:19.301614,5,1
166,PE_NIFTY_26200.0_2026-02-17,NIFTY,2026-02-17,26200.0,PE,TIER_B,2026-02-05 04:43:19.301639,1,1
167,CE_NIFTY_26250.0_2026-02-17,NIFTY,2026-02-17,26250.0,CE,TIER_B,2026-02-05 04:43:19.301663,2,1
168,PE_NIFTY_26250.0_2026-02-17,NIFTY,2026-02-17,26250.0,PE,TIER_B,2026-02-05 04:43:19.301680,3,1
169,CE_NIFTY_26300.0_2026-02-17,NIFTY,2026-02-17,26300.0,CE,TIER_B,2026-02-05 04:43:19.301698,4,1
170,PE_NIFTY_26300.0_2026-02-17,NIFTY,2026-02-17,26300.0,PE,TIER_B,2026-02-05 04:43:19.301714,5,1
171,CE_NIFTY_26350.0_2026-02-17,NIFTY,2026-02-17,26350.0,CE,TIER_B,2026-02-05 04:43:19.301730,1,1
172,PE_NIFTY_26350.0_2026-02-17,NIFTY,2026-02-17,26350.0,PE,TIER_B,2026-02-05 04:43:19.301748,2,1
173,CE_NIFTY_26400.0_2026-02-17,NIFTY,2026-02-17,26400.0,CE,TIER_B,2026-02-05 04:43:19.301764,3,1
174,PE_NIFTY_26400.0_2026-02-17,NIFTY,2026-02-17,26400.0,PE,TIER_B,2026-02-05 04:43:19.301780,4,1
175,CE_NIFTY_26450.0_2026-02-17,NIFTY,2026-02-17,26450.0,CE,TIER_B,2026-02-05 04:43:19.301806,5,1
176,PE_NIFTY_26450.0_2026-02-17,NIFTY,2026-02-17,26450.0,PE,TIER_B,2026-02-05 04:43:19.301838,1,1
177,CE_NIFTY_26500.0_2026-02-17,NIFTY,2026-02-17,26500.0,CE,TIER_B,2026-02-05 04:43:19.301867,2,1
178,PE_NIFTY_26500.0_2026-02-17,NIFTY,2026-02-17,26500.0,PE,TIER_B,2026-02-05 04:43:19.301984,3,1
179,CE_NIFTY_26550.0_2026-02-17,NIFTY,2026-02-17,26550.0,CE,TIER_B,2026-02-05 04:43:19.302043,4,1
180,PE_NIFTY_26550.0_2026-02-17,NIFTY,2026-02-17,26550.0,PE,TIER_B,2026-02-05 04:43:19.302122,5,1
181,CE_NIFTY_26600.0_2026-02-17,NIFTY,2026-02-17,26600.0,CE,TIER_B,2026-02-05 04:43:19.302158,1,1
182,PE_NIFTY_26600.0_2026-02-17,NIFTY,2026-02-17,26600.0,PE,TIER_B,2026-02-05 04:43:19.302239,2,1
183,CE_NIFTY_26650.0_2026-02-17,NIFTY,2026-02-17,26650.0,CE,TIER_B,2026-02-05 04:43:19.302322,3,1
184,PE_NIFTY_26650.0_2026-02-17,NIFTY,2026-02-17,26650.0,PE,TIER_B,2026-02-05 04:43:19.302360,4,1
185,CE_NIFTY_26700.0_2026-02-17,NIFTY,2026-02-17,26700.0,CE,TIER_B,2026-02-05 04:43:19.302390,5,1
186,PE_NIFTY_26700.0_2026-02-17,NIFTY,2026-02-17,26700.0,PE,TIER_B,2026-02-05 04:43:19.302415,1,1
187,CE_NIFTY_26750.0_2026-02-17,NIFTY,2026-02-17,26750.0,CE,TIER_B,2026-02-05 04:43:19.302441,2,1
188,PE_NIFTY_26750.0_2026-02-17,NIFTY,2026-02-17,26750.0,PE,TIER_B,2026-02-05 04:43:19.302467,3,1
189,CE_NIFTY_26800.0_2026-02-17,NIFTY,2026-02-17,26800.0,CE,TIER_B,2026-02-05 04:43:19.302504,4,1
190,PE_NIFTY_26800.0_2026-02-17,NIFTY,2026-02-17,26800.0,PE,TIER_B,2026-02-05 04:43:19.302532,5,1
191,CE_NIFTY_26850.0_2026-02-17,NIFTY,2026-02-17,26850.0,CE,TIER_B,2026-02-05 04:43:19.302561,1,1
192,PE_NIFTY_26850.0_2026-02-17,NIFTY,2026-02-17,26850.0,PE,TIER_B,2026-02-05 04:43:19.302589,2,1
193,CE_NIFTY_26900.0_2026-02-17,NIFTY,2026-02-17,26900.0,CE,TIER_B,2026-02-05 04:43:19.302617,3,1
194,PE_NIFTY_26900.0_2026-02-17,NIFTY,2026-02-17,26900.0,PE,TIER_B,2026-02-05 04:43:19.302637,4,1
195,CE_NIFTY_26950.0_2026-02-17,NIFTY,2026-02-17,26950.0,CE,TIER_B,2026-02-05 04:43:19.302660,5,1
196,PE_NIFTY_26950.0_2026-02-17,NIFTY,2026-02-17,26950.0,PE,TIER_B,2026-02-05 04:43:19.302687,1,1
197,CE_NIFTY_27000.0_2026-02-17,NIFTY,2026-02-17,27000.0,CE,TIER_B,2026-02-05 04:43:19.302774,2,1
198,PE_NIFTY_27000.0_2026-02-17,NIFTY,2026-02-17,27000.0,PE,TIER_B,2026-02-05 04:43:19.302807,3,1
